name,technologies,topics,category
Software and Computational Systems Lab at LMU Munich,java | python | javascript,software analysis | software verification | benchmarking | smt solver,Programming Languages and Development Tools
Space @ Virginia Tech,python | javascript | d3 | mysql | mongodb,real time | web | data visualization | data analytics,Science and Medicine
SPDX,rdf | python | java | json,compliance | open source | licensing,Programming Languages and Development Tools
Stemformatics,python | javascript | postgresql,web applications | cloud | bioinformatics,Science and Medicine
STE||AR Group,c++ | cuda | opencv | python | boost,hpc | parallel algorithms | runtime systems | distributed datastructures | asynchronous many task systems,Programming Languages and Development Tools
Stony Brook University Biomedical Informatics,python | matlab | c++ | javascript,biomedical data science | cancer informatics | deep learning | medical imaging,Science and Medicine
strace,linux | c | git | shellscript | make,diagnostic | debugging | tracing,Operating Systems
Streetmix,javascript | react | redux | postgresql | mongodb,smart cities | web | civic tech,End User Applications
Submitty,python | c++ | databases | web/html/css | php/javascript/ajax,education | privacy/security | data visualization | web,Other
Sugar Labs,python | javascript | gtk+,education | games | user interface | media | stem,Other
Sustainable Computing Research Group (SCoRe),android | java | go | node | pyth,iot | web | mobile | machine learning | security,Web
Swift,c++ | llvm | cmake | swift,compilers | programming languages,Programming Languages and Development Tools
SymPy,python,mathematics | computer algebra,Science and Medicine
Systers Community,ios | android | python | rubyonrails | javascript,mobile applications |  web apps | community,Other
TEAMMATES @ National University of Singapore,java | appengine | javascript,education | teaching | cloud | web applications,Web
The Center for Connected Learning and Computer-Based Modeling,javascript | scala | html5/css3,simulation | education | programming language | science | academic research,Programming Languages and Development Tools
The Eclipse Foundation,php | java | xtext | javascript | c/c++,research | industry | internet of things | runtime systems,Other
The Honeynet Project,python3 | python | golang | c/c++ | machinelearning,honeypots | malware | sandbox | deception | networking,Security
The Java Pathfinder Team,java | jvm | android | distributedsystems,program analysis | model checking | symbolic execution | test input generation | formal methods,Programming Languages and Development Tools
The Libreswan Project,c | python | shellscript | qemu,ipsec vpn,Security
The Linux Foundation,c | c++ | cups | ipp,kernel | printing | wireless | lsb | spdx,Operating Systems
The MacPorts Project,tcl | html/javascript | frontend | vue.js | react.js,package manager | mac os x | macos | command line | build tools,End User Applications
The Mifos Initiative,java | android | spring | angularjs | mysql,fintech | financial inclusion | mobile banking | digital financial services | microfinance,End User Applications
The NetBSD Foundation,c | bsdmake,kernel | userland | unix | packaging | bsd,Operating Systems
The ns-3 Network Simulator Project,c/c++ | python,networking | research and development | network simulation,Other
The Processing Foundation,java | javascript | python | android | opengl,creative coding | graphics | design | education | web,Programming Languages and Development Tools
The Qt Project,c++11 | cpp | qt | qml | opengl,graphics | gis | maps | declarative language,Programming Languages and Development Tools
The syslog-ng project.,java | c/c++ | bigdata | elasticsearch | rest,logging | log management | message queue | python,Security
The Vega Visualization Tools by the UW Interactive Data Lab,javascript | typescript | react | d3.js,data visualization | visualization grammar | data science | declarative language | plotting tools,Data and Databases
The Wine Project,directx | x11 | win32 | opengl | c,compatibility | desktop integration | 3d | directx | opengl,Other
TimVideos.us,fpga | verilog | python | c,hardware,Graphics / Video / Audio / Virtual Reality
TLA+,java | tla+ | eclipse | ocaml | smt,formal methods | algorithms,Programming Languages and Development Tools
UCSC Xena,javascript | python | clojure | react | jvm,bioinformatics | data visualization | web applications | cancer | genomics,Science and Medicine
VideoLAN,c | c++ | go | vue.js,multimedia | audio | video | 3d | vr,Graphics / Video / Audio / Virtual Reality
ViSP,c/c++,robotics | computer vision,Graphics / Video / Audio / Virtual Reality
