name,technologies,topics
Ste||ar group,c++ |  hpc,library |  optimization |  parallel algorithms |  hpx |  application
strace,c |  shell |  make |  autotools |  gawk,debugging |  tracing |  diagnostic
Submitty,python |  postgresql |  javascript |  c++ |  php,education |  visualization |  web |  privacy/security |  communication
Sugar Labs,python |  gtk |  typescript |  javascipt,education |  games |  desktop
"Stratosphere Laboratory, Czech Technical University in Prague",python |  redis |  docker |  textual,machine learning |  network security |  civil society |  Security Defense
SymPy,python |  numpy |  jupyter,mathematics |  physics |  symbolic mathematics
Swift,c++ |  cmake |  swift,compilers |  cross-platform |  Packages |  Server development |  Standard Libraries
TARDIS RT Collaboration,python |  numba |  numpy |  jupyter |  pandas,visualization |  big data |  simulation |  astrophysics
Synfig,python |  c++ |  gtk |  gtkmm,2d/3d graphics |  animation |  vector graphics
The JPF team,android |  java |  distributed systems |  jvm |  smt solvers,model checking |  symbolic execution |  verification of concurrent systems |  program analysis |  test input generation
The Honeynet Project,python |  javascript |  django |  go |  docker,honeypots |  malware analysis |  Threat Intelligence
The Linux Foundation,c |  linux |  c++ |  cups |  ipp,kernel |  automotive |  printing |  iio |  zephyr
TensorFlow,machine learning |  tensorflow |  ai |  Jax |  keras,education |  research |  machine learning |  on-device machine learning
The Mifos Initiative,android |  java |  kotlin |  spring |  angular,artificial intelligence |  cloud |  fintech |  financial inclusion |  mobile banking
The Julia Language,machine learning |  julia |  data science |  compilers |  garbage-collection,math |  machine learning |  science |  data science |  graphs
The FreeBSD Project,c |  llvm |  assembly |  make |  POSIX shell,virtualization |  operating system |  Embedded System
The ENIGMA Team,opengl |  c++ |  qt5 |  recursive-descent,graphics |  game development |  compiler |  programming |  game design
The ns-3 Network Simulator Project,python |  django |  c++,computer networking |  network simulation
The NetBSD Foundation,c |  shell script |  make |  unix |  bsd,kernel |  packaging |  userland |  unix |  bsd
The Tor Project,c |  python |  web |  rust,security |  privacy |  anti-censorship |  Human Rights |  Surveillance
UC OSPO,python |  c/c++ |  machine learning |  verilog |  VLSI,education |  hardware |  storage |  AI/ML |  I/O
VideoLAN,c |  c++ |  qt |  assembly |  video,audio |  streaming |  video |  codecs |  media database
The Palisadoes Foundation,flutter |  graphql |  typescript |  reactjs |  MERN,web |  api |  database |  ai |  mobile
Unikraft,c |  xen |  golang |  kvm |  assembly language,virtualization |  cloud |  software reuse |  software configurability
Wagtail,python |  javascript |  django,web |  accessibility |  cms
X.Org Foundation,opengl |  vulkan |  x11 |  wayland |  DRM,graphics |  kernel |  drivers
Wikimedia Foundation,python |  javascript |  html |  php |  css,semantic web |  wikipedia |  wikimedia |  mediawiki |  i18n
XWiki,javascript |  java |  html5 |  css3 |  velocity,web development |  wiki |  platform |  web applications |  structured data
Zulip,python |  django |  flutter |  css |  typescript,great developer tooling |  visual design |  teaching quality codebase |  team chat |  integrations
XMPP Standards Foundation,gtk |  vala |  xmpp |  swift |  Objective C,instant messaging |  chat |  WebRTC |  Jingle |  Real-Time Communication
